"","Time","X18s.RNA","abl","bcr"
"1",NA,8.50626641345917,NA,9.15055535686053
"2",NA,7.3542632392921,10.3299326222213,8.95375472451303
"3",-3.32192807338953,7.27626074223935,5.55261410598688,9.27568278388342
"4",-3.32192807338953,7.07596218844183,5.65952930990339,9.14813269954133
"5",-2.32192807338953,4.89060708524434,-0.147825612154212,8.48213363293728
"6",-2.32192807338953,7.1458640627642,7.39906887218767,8.87096611603391
"7",-1.73696553683866,6.37935430376046,4.31160600648309,8.77059070500987
"8",-1.73696553683866,7.30273304138913,6.13757656762305,10.1970018646324
"9",-1.73696553683866,7.37935430376046,NA,8.81708319434206
"10",-1.32192807338953,6.63685049299855,13.86322685644,8.72254980364741
"11",-0.736965536838657,8.93641077485746,9.54914188102265,11.6064618063456
"12",-0.514573197398709,7.0962821317458,4.93963722909613,8.71274654428885
"13",-0.514573197398709,7.07596218844183,7.9289899736054,9.96756049528623
"14",-0.514573197398709,8.85229013583161,9.0220993892881,11.5625639759222
"15",-0.321928073389531,7.67787778813451,7.46688426306945,10.7290484273617
"16",-0.321928073389531,7.38762190312249,4.31160600648309,8.54977233195475
"17",-0.321928073389531,7.0962821317458,6.55261410598688,9.37225598327629
"18",-0.321928073389531,7.36267559643681,2.85217438784579,8.97030586634027
"19",0,7.06569387396591,5.13757656762305,9.30207422869461
"20",0,7.21253512447257,5.0220993892881,8.86212416316627
"21",0.137503555019507,9.40197723254435,9.61704601712776,12.3452792161337
"22",0.263034463161343,8.89351281063359,8.98403132943461,11.621384882474
"23",0.263034463161343,7.48330518861052,5.82945428715024,8.50503410969824
"24",0.263034463161343,6.99169318873668,6.06162779467243,9.44905630422154
"25",0.378511702630336,6.85527398836576,4.24449188321095,8.83827747009625
"26",0.485426802601291,7.36267559643681,4.55261410598688,8.82923234924762
"27",0.485426802601291,7.92509548427311,4.80637064906123,8.79557300964669
"28",0.584962500721156,7.61589091644664,5.10010182106229,9.37640165314611
"29",0.678071926610469,6.0238736161078,5.10010182106229,9.02941900870374
"30",0.678071926610469,6.95877854364404,4.60706183355316,9.01087157812509
"31",0.678071926610469,7.10633577629978,5.17410248273315,10.5059803870023
"32",0.847996963882499,6.53632358739797,3.55261410598688,8.83827747009625
"33",0.925999400452786,6.55112056028447,5.71015543553593,8.72254980364741
"34",1,6.12623529434403,4.65952930990339,8.61086692003193
"35",1,6.63685049299855,NA,9.06066987769102
"36",1,6.65065626513576,4.60706183355316,9.96205403041445
"37",1.0703894261672,7.62989774624916,5.13757656762305,9.35134703618664
"38",1.13750355501951,NA,5.80637064906123,9.18877475301654
"39",1.13750355501951,6.18433828830105,5.4067632070912,9.01884978929649
"40",1.13750355501951,8.0238736161078,4.93963722909613,9.02149936210401
"41",1.13750355501951,7.49099968772067,7.78291175039744,10.5752430835008
"42",1.13750355501951,10.0383863751566,10.3786736218152,13.0118713133208
"43",1.13750355501951,8.15557935322006,13.9768611641426,10.2878388915947
"44",1.20163383125962,8.41619099861034,3.65952930990339,9.51258748830918
"45",1.20163383125962,10.3958423934948,9.57668823736216,13.3331997184859
"46",1.20163383125962,7.96983379834699,7.17410248273315,9.68627438733918
"47",1.20163383125962,7.37935430376046,11.585189729235,10.0760450721129
"48",1.26303446316134,5.71777054066797,5.89656855339559,9.02149936210401
"49",1.37851170263034,9.06311525284506,8.74091766890258,11.3696589768886
"50",1.37851170263034,7.4282638072822,6.85217438784579,9.87536680689795
"51",1.43295943275502,9.08361566429695,5.71015543553593,9.56256397592223
"52",1.48542680260129,8.70128234576099,5.96069886671547,9.7483704847327
"53",1.5360529476837,8.06569387396591,5.52459969992876,9.3639287329748
"54",1.58496250072116,4.0238736161078,NA,7.88558318177165
"55",1.63226828207344,7.71777054066797,6.93963722909613,10.1757506966822
"56",1.63226828207344,7.11631984503983,11.3874498096619,8.73874180341618
"57",1.67807192661047,7.21253512447257,6.31160600648309,9.54977233195475
